theme0,theme1,theme2,theme3,theme4,species,leading_species,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100
?,?,2403007,?,2423007,softwood,softwood,0.0,0.0,0.0,3.0,30.0,91.0,168.0,246.0,319.0,382.0,436.0,482.0,521.0,555.0,584.0,608.0,630.0,649.0,666.0,680.0,693.0,705.0,715.0,724.0,732.0,739.0,746.0,752.0,758.0,763.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0,767.0
?,?,2402000,?,2422110,softwood,softwood,0.0,0.0,0.0,0.0,3.0,15.0,37.0,67.0,101.0,136.0,171.0,203.0,234.0,261.0,286.0,309.0,329.0,347.0,364.0,378.0,392.0,404.0,415.0,425.0,435.0,443.0,451.0,458.0,465.0,471.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0
?,?,2403000,?,2423110,softwood,softwood,0.0,0.0,0.0,2.0,12.0,50.0,100.0,155.0,210.0,262.0,307.0,348.0,383.0,414.0,440.0,463.0,484.0,502.0,519.0,532.0,545.0,557.0,568.0,577.0,585.0,593.0,601.0,608.0,614.0,619.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0,623.0
?,?,2403001,?,2423111,softwood,softwood,0.0,0.0,0.0,0.0,1.0,3.0,9.0,23.0,42.0,66.0,93.0,122.0,152.0,182.0,211.0,238.0,264.0,289.0,311.0,332.0,351.0,369.0,385.0,400.0,414.0,427.0,438.0,448.0,458.0,466.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0
?,?,2401002,?,2421112,softwood,softwood,0.0,0.0,0.0,3.0,10.0,18.0,36.0,60.0,85.0,111.0,135.0,157.0,176.0,193.0,208.0,220.0,231.0,240.0,248.0,254.0,260.0,264.0,268.0,271.0,274.0,276.0,278.0,279.0,280.0,281.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0
?,?,2402002,?,2422112,softwood,softwood,0.0,0.0,0.0,7.0,17.0,47.0,87.0,131.0,175.0,216.0,252.0,284.0,311.0,333.0,352.0,367.0,379.0,389.0,397.0,405.0,411.0,416.0,419.0,422.0,425.0,427.0,429.0,430.0,431.0,432.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0
?,?,2403002,?,2423112,softwood,softwood,0.0,0.0,0.0,15.0,42.0,118.0,200.0,280.0,355.0,420.0,474.0,516.0,552.0,578.0,600.0,619.0,633.0,643.0,651.0,658.0,663.0,668.0,672.0,675.0,677.0,679.0,681.0,682.0,683.0,684.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0
?,?,2402003,?,2422113,softwood,softwood,0.0,0.0,0.0,0.0,3.0,13.0,34.0,64.0,100.0,138.0,177.0,214.0,249.0,281.0,312.0,339.0,364.0,386.0,406.0,425.0,441.0,456.0,470.0,483.0,495.0,505.0,515.0,524.0,532.0,540.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0
?,?,2403003,?,2423113,softwood,softwood,0.0,0.0,0.0,1.0,11.0,49.0,102.0,164.0,227.0,287.0,342.0,392.0,435.0,473.0,506.0,534.0,561.0,583.0,603.0,620.0,636.0,651.0,663.0,675.0,686.0,697.0,706.0,714.0,722.0,728.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0
?,?,2402004,?,2422114,softwood,softwood,0.0,0.0,0.0,0.0,0.0,2.0,8.0,20.0,37.0,58.0,82.0,108.0,134.0,161.0,187.0,212.0,235.0,257.0,277.0,296.0,313.0,329.0,344.0,357.0,369.0,381.0,391.0,400.0,409.0,417.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0
?,?,2403004,?,2423114,softwood,softwood,0.0,0.0,0.0,0.0,2.0,8.0,24.0,48.0,79.0,112.0,149.0,185.0,221.0,255.0,287.0,317.0,344.0,370.0,393.0,415.0,435.0,452.0,469.0,484.0,497.0,509.0,520.0,530.0,539.0,547.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0
?,?,2401007,?,2421117,softwood,softwood,0.0,0.0,0.0,0.0,3.0,16.0,39.0,70.0,106.0,143.0,179.0,214.0,246.0,275.0,301.0,325.0,346.0,365.0,382.0,398.0,412.0,425.0,436.0,447.0,457.0,466.0,474.0,482.0,488.0,495.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0
?,?,2402007,?,2422117,softwood,softwood,0.0,0.0,0.0,1.0,8.0,38.0,81.0,129.0,180.0,228.0,273.0,312.0,347.0,377.0,404.0,428.0,449.0,467.0,484.0,499.0,512.0,523.0,534.0,544.0,553.0,561.0,569.0,575.0,582.0,588.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0
?,?,2403007,?,2423117,softwood,softwood,0.0,0.0,0.0,3.0,30.0,97.0,176.0,255.0,328.0,392.0,446.0,492.0,531.0,565.0,594.0,618.0,640.0,659.0,676.0,692.0,706.0,716.0,725.0,734.0,743.0,751.0,758.0,764.0,769.0,773.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0
?,?,2402000,?,2422120,softwood,softwood,0.0,0.0,0.0,0.0,3.0,14.0,35.0,65.0,99.0,134.0,169.0,201.0,232.0,259.0,284.0,307.0,327.0,345.0,361.0,376.0,390.0,402.0,413.0,423.0,432.0,441.0,449.0,456.0,463.0,469.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0
?,?,2403000,?,2423120,softwood,softwood,0.0,0.0,0.0,2.0,14.0,48.0,96.0,152.0,207.0,258.0,304.0,344.0,379.0,409.0,436.0,459.0,480.0,498.0,515.0,529.0,541.0,553.0,564.0,573.0,581.0,589.0,596.0,603.0,609.0,614.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0
?,?,2403001,?,2423121,softwood,softwood,0.0,0.0,0.0,0.0,1.0,3.0,9.0,23.0,42.0,66.0,93.0,122.0,152.0,182.0,211.0,238.0,264.0,289.0,311.0,332.0,351.0,369.0,385.0,400.0,414.0,427.0,438.0,448.0,458.0,466.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0
?,?,2401002,?,2421122,softwood,softwood,0.0,0.0,0.0,3.0,11.0,18.0,36.0,59.0,85.0,111.0,134.0,156.0,176.0,193.0,207.0,220.0,231.0,240.0,247.0,254.0,259.0,264.0,267.0,270.0,273.0,275.0,277.0,279.0,280.0,281.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0
?,?,2402002,?,2422122,softwood,softwood,0.0,0.0,0.0,7.0,18.0,44.0,83.0,127.0,170.0,211.0,247.0,278.0,305.0,327.0,345.0,360.0,372.0,382.0,390.0,397.0,402.0,407.0,411.0,414.0,417.0,419.0,420.0,421.0,423.0,423.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0
