classifier_id,name,description
5,2421347,2421347
5,2421357,2421357
5,2422007,2422007
5,2422117,2422117
5,2422127,2422127
5,2422137,2422137
5,2422147,2422147
5,2422157,2422157
5,2422167,2422167
5,2422177,2422177
5,2422217,2422217
5,2422227,2422227
5,2422237,2422237
5,2422247,2422247
5,2422257,2422257
5,2422267,2422267
5,2422317,2422317
5,2422327,2422327
5,2422337,2422337
5,2422347,2422347
5,2422357,2422357
5,2422000,2422000
5,2422110,2422110
5,2422120,2422120
5,2422130,2422130
5,2422140,2422140
5,2422150,2422150
5,2422160,2422160
5,2422170,2422170
5,2422210,2422210
5,2422220,2422220
5,2422230,2422230
5,2422240,2422240
5,2422250,2422250
5,2422260,2422260
5,2422310,2422310
5,2422320,2422320
5,2422330,2422330
5,2422340,2422340
5,2422350,2422350
5,2422004,2422004
5,2422114,2422114
5,2422124,2422124
5,2422134,2422134
5,2422144,2422144
5,2422154,2422154
5,2422164,2422164
5,2422174,2422174
5,2422214,2422214
5,2422224,2422224
5,2422234,2422234
5,2422244,2422244
5,2422254,2422254
5,2422264,2422264
5,2422314,2422314
5,2422324,2422324
5,2422334,2422334
5,2422344,2422344
5,2422354,2422354
5,2421006,2421006
5,2421116,2421116
5,2421126,2421126
5,2421136,2421136
5,2421146,2421146
5,2421156,2421156
5,2421166,2421166
5,2421176,2421176
5,2421216,2421216
5,2421226,2421226
5,2421236,2421236
5,2421246,2421246
5,2421256,2421256
5,2421266,2421266
5,2421316,2421316
5,2421326,2421326
5,2421336,2421336
5,2421346,2421346
5,2421356,2421356
5,2423000,2423000
5,2423110,2423110
5,2423120,2423120
5,2423130,2423130
5,2423140,2423140
5,2423150,2423150
5,2423160,2423160
5,2423170,2423170
5,2423210,2423210
5,2423220,2423220
5,2423230,2423230
5,2423240,2423240
5,2423250,2423250
5,2423260,2423260
5,2423310,2423310
5,2423320,2423320
5,2423330,2423330
5,2423340,2423340
5,2423350,2423350
5,2422005,2422005
5,2422115,2422115
5,2422125,2422125
5,2422135,2422135
5,2422145,2422145
5,2422155,2422155
5,2422165,2422165
5,2422175,2422175
5,2422215,2422215
5,2422225,2422225
5,2422235,2422235
5,2422245,2422245
5,2422255,2422255
5,2422265,2422265
5,2422315,2422315
5,2422325,2422325
5,2422335,2422335
5,2422345,2422345
5,2422355,2422355
5,2421003,2421003
5,2421113,2421113
5,2421123,2421123
5,2421133,2421133
5,2421143,2421143
5,2421153,2421153
5,2421163,2421163
5,2421173,2421173
5,2421213,2421213
5,2421223,2421223
5,2421233,2421233
5,2421243,2421243
5,2421253,2421253
5,2421263,2421263
5,2421313,2421313
5,2421323,2421323
5,2421333,2421333
5,2421343,2421343
5,2421353,2421353
5,2423004,2423004
5,2423114,2423114
5,2423124,2423124
5,2423134,2423134
5,2423144,2423144
5,2423154,2423154
5,2423164,2423164
5,2423174,2423174
5,2423214,2423214
5,2423224,2423224
5,2423234,2423234
5,2423244,2423244
5,2423254,2423254
5,2423264,2423264
5,2423314,2423314
5,2423324,2423324
5,2423334,2423334
5,2423344,2423344
5,2423354,2423354
5,2423003,2423003
5,2423113,2423113
5,2423123,2423123
5,2423133,2423133
5,2423143,2423143
5,2423153,2423153
5,2423163,2423163
5,2423173,2423173
5,2423213,2423213
5,2423223,2423223
5,2423233,2423233
5,2423243,2423243
5,2423253,2423253
5,2423263,2423263
5,2423313,2423313
5,2423323,2423323
5,2423333,2423333
5,2423343,2423343
5,2423353,2423353
5,2421000,2421000
5,2421110,2421110
5,2421120,2421120
5,2421130,2421130
5,2421140,2421140
5,2421150,2421150
5,2421160,2421160
5,2421170,2421170
5,2421210,2421210
5,2421220,2421220
5,2421230,2421230
5,2421240,2421240
5,2421250,2421250
5,2421260,2421260
5,2421310,2421310
5,2421320,2421320
5,2421330,2421330
5,2421340,2421340
5,2421350,2421350
5,2423007,2423007
5,2423117,2423117
5,2423127,2423127
5,2423137,2423137
5,2423147,2423147
5,2423157,2423157
5,2423167,2423167
5,2423177,2423177
5,2423217,2423217
5,2423227,2423227
5,2423237,2423237
5,2423247,2423247
5,2423257,2423257
5,2423267,2423267
5,2423317,2423317
5,2423327,2423327
5,2423337,2423337
5,2423347,2423347
5,2423357,2423357
5,2422006,2422006
5,2422116,2422116
5,2422126,2422126
5,2422136,2422136
5,2422146,2422146
5,2422156,2422156
5,2422166,2422166
5,2422176,2422176
5,2422216,2422216
5,2422226,2422226
5,2422236,2422236
5,2422246,2422246
5,2422256,2422256
5,2422266,2422266
5,2422316,2422316
5,2422326,2422326
5,2422336,2422336
5,2422346,2422346
5,2422356,2422356
5,2423001,2423001
5,2423111,2423111
5,2423121,2423121
5,2423131,2423131
5,2423141,2423141
5,2423151,2423151
5,2423161,2423161
5,2423171,2423171
5,2423211,2423211
5,2423221,2423221
5,2423231,2423231
5,2423241,2423241
5,2423251,2423251
5,2423261,2423261
5,2423311,2423311
5,2423321,2423321
5,2423331,2423331
5,2423341,2423341
5,2423351,2423351
5,2421001,2421001
5,2421111,2421111
5,2421121,2421121
5,2421131,2421131
5,2421141,2421141
5,2421151,2421151
5,2421161,2421161
5,2421171,2421171
5,2421211,2421211
5,2421221,2421221
5,2421231,2421231
5,2421241,2421241
5,2421251,2421251
5,2421261,2421261
5,2421311,2421311
5,2421321,2421321
5,2421331,2421331
5,2421341,2421341
5,2421351,2421351
5,2421005,2421005
5,2421115,2421115
5,2421125,2421125
5,2421135,2421135
5,2421145,2421145
5,2421155,2421155
5,2421165,2421165
5,2421175,2421175
5,2421215,2421215
5,2421225,2421225
5,2421235,2421235
5,2421245,2421245
5,2421255,2421255
5,2421265,2421265
5,2421315,2421315
5,2421325,2421325
5,2421335,2421335
5,2421345,2421345
5,2421355,2421355
5,2422001,2422001
5,2422111,2422111
5,2422121,2422121
5,2422131,2422131
5,2422141,2422141
5,2422151,2422151
5,2422161,2422161
5,2422171,2422171
5,2422211,2422211
5,2422221,2422221
5,2422231,2422231
5,2422241,2422241
5,2422251,2422251
5,2422261,2422261
5,2422311,2422311
5,2422321,2422321
5,2422331,2422331
5,2422341,2422341
5,2422351,2422351
5,2401000,2401000
5,2401002,2401002
5,2402000,2402000
5,2402002,2402002
5,2402005,2402005
5,2403000,2403000
5,2403002,2403002
6,_CLASSIFIER,species
6,softwood,softwood
6,hardwood,hardwood
