classifier_id,name,description
1,_CLASSIFIER,theme0
1,tsa24_clipped,tsa24_clipped
2,_CLASSIFIER,theme1
2,0,0
2,1,1
3,_CLASSIFIER,theme2
3,2401004,2401004
3,2402000,2402000
3,2401005,2401005
3,2403005,2403005
3,2401002,2401002
3,2401000,2401000
3,2402007,2402007
3,2403000,2403000
3,2402006,2402006
3,2402003,2402003
3,2403004,2403004
3,2402002,2402002
3,2403007,2403007
3,2401001,2401001
3,2403006,2403006
3,2402004,2402004
3,2403003,2403003
3,2401007,2401007
3,2401003,2401003
3,2401006,2401006
3,2403001,2403001
3,2403002,2403002
3,2402001,2402001
3,2402005,2402005
4,_CLASSIFIER,theme3
4,304,304
4,100,100
4,1201,1201
4,204,204
4,104,104
5,_CLASSIFIER,theme4
5,2422003,2422003
5,2422113,2422113
5,2422123,2422123
5,2422133,2422133
5,2422143,2422143
5,2422153,2422153
5,2422163,2422163
5,2422173,2422173
5,2422213,2422213
5,2422223,2422223
5,2422233,2422233
5,2422243,2422243
5,2422253,2422253
5,2422263,2422263
5,2422313,2422313
5,2422323,2422323
5,2422333,2422333
5,2422343,2422343
5,2422353,2422353
5,2423005,2423005
5,2423115,2423115
5,2423125,2423125
5,2423135,2423135
5,2423145,2423145
5,2423155,2423155
5,2423165,2423165
5,2423175,2423175
5,2423215,2423215
5,2423225,2423225
5,2423235,2423235
5,2423245,2423245
5,2423255,2423255
5,2423265,2423265
5,2423315,2423315
5,2423325,2423325
5,2423335,2423335
5,2423345,2423345
5,2423355,2423355
5,2422002,2422002
5,2422112,2422112
5,2422122,2422122
5,2422132,2422132
5,2422142,2422142
5,2422152,2422152
5,2422162,2422162
5,2422172,2422172
5,2422212,2422212
5,2422222,2422222
5,2422232,2422232
5,2422242,2422242
5,2422252,2422252
5,2422262,2422262
5,2422312,2422312
5,2422322,2422322
5,2422332,2422332
5,2422342,2422342
5,2422352,2422352
5,2423002,2423002
5,2423112,2423112
5,2423122,2423122
5,2423132,2423132
5,2423142,2423142
5,2423152,2423152
5,2423162,2423162
5,2423172,2423172
5,2423212,2423212
5,2423222,2423222
5,2423232,2423232
5,2423242,2423242
5,2423252,2423252
5,2423262,2423262
5,2423312,2423312
5,2423322,2423322
5,2423332,2423332
5,2423342,2423342
5,2423352,2423352
5,2423006,2423006
5,2423116,2423116
5,2423126,2423126
5,2423136,2423136
5,2423146,2423146
5,2423156,2423156
5,2423166,2423166
5,2423176,2423176
5,2423216,2423216
5,2423226,2423226
5,2423236,2423236
5,2423246,2423246
5,2423256,2423256
5,2423266,2423266
5,2423316,2423316
5,2423326,2423326
5,2423336,2423336
5,2423346,2423346
5,2423356,2423356
5,2421002,2421002
5,2421112,2421112
5,2421122,2421122
5,2421132,2421132
5,2421142,2421142
5,2421152,2421152
5,2421162,2421162
5,2421172,2421172
5,2421212,2421212
5,2421222,2421222
5,2421232,2421232
5,2421242,2421242
5,2421252,2421252
5,2421262,2421262
5,2421312,2421312
5,2421322,2421322
5,2421332,2421332
5,2421342,2421342
5,2421352,2421352
5,2421004,2421004
5,2421114,2421114
5,2421124,2421124
5,2421134,2421134
5,2421144,2421144
5,2421154,2421154
5,2421164,2421164
5,2421174,2421174
5,2421214,2421214
5,2421224,2421224
5,2421234,2421234
5,2421244,2421244
5,2421254,2421254
5,2421264,2421264
5,2421314,2421314
5,2421324,2421324
5,2421334,2421334
5,2421344,2421344
5,2421354,2421354
5,2421007,2421007
5,2421117,2421117
5,2421127,2421127
5,2421137,2421137
5,2421147,2421147
5,2421157,2421157
5,2421167,2421167
5,2421177,2421177
5,2421217,2421217
5,2421227,2421227
5,2421237,2421237
5,2421247,2421247
5,2421257,2421257
5,2421267,2421267
5,2421317,2421317
5,2421327,2421327
5,2421337,2421337
